Genre,Compositeur,Titre,Période,Formation,Remarque
Motet,Bruckner A.,Tantum ergo,Romantique,Chœur a capella,
Messe,Caldara A.,Missa brevis en sol majeur,Baroque,Chœur et instruments,
Musique d'ensemble,Cellier A.,Thème et variations sur le Psaume 149,Moderne,Trompette et orgue,
Musique d'ensemble,Corelli A.,La Follia,Baroque,Violon et orgue,
Clavier,Gabrieli A.,"Canzon francese detta ""Frais et Gaillard""",Renaissance,Clavecin,
Motet,Gabrieli A.,Benedictus Dominus,Renaissance,Chœur et instruments,
Musique d'ensemble,Hovhaness A.,Haroutiun,Moderne,Trompette et orgue,
Motet,Lotti A. ,Ave Regina coelorum,Baroque,Chœur a capella,
Motet,Pärt A.,Da pacem Domine,Contemporain,Chœur et instruments,
Musique d'ensemble,Pärt A.,Fratres,Contemporain,Ensemble instrumental,
Clavier,Raison A.,Messe du 1er ton,Baroque,Orgue,
Musique d'ensemble,Scarlatti A.,Sonate no1 en ré mineur,Baroque,Violoncelle et orgue,
Motet,Scarlatti A.,Exultate Deo,Baroque,Chœur a capella,
Cantate,Vivaldi A.,"Aure, voi più non sieste",Baroque,Chant et orgue,
Musique d'ensemble,Vivaldi A.,Sonate no9 en sol mineur RV 42,Baroque,Violoncelle et orgue,
Musique d'ensemble,Vivaldi A.,Quatre saisons op.8,Baroque,Ensemble instrumental,
Chant grégorien,Anonyme,Pater Noster,Médiéval,Chœur a capella,
Musique d'ensemble,Anonyme,Livre Vermeil,Médiéval,Chœur et instruments,Extraits
Clavier,Bettinelli B.,Toccata Fantasia,Contemporain,Orgue,
Motet,Britten B.,Hymn to the Virgin,Moderne,Chœur a capella,
Clavier,Britten B.,Prélude et Fugue sur un thème de Victoria,Moderne,Orgue,
Motet,Héritier B.,O croix plus noble que les cèdres,Contemporain,Chœur a capella,
Clavier,Pasquini B.,Toccata con lo scherzo del cucco,Baroque,Clavecin,
Oratorio,Britten B.,Saint Nicolas op. 42,Moderne,Chœur et instruments,
Motet,Byrd W.,"Alleluia, Ascendit Deus",Renaissance,Chœur et instruments,
Clavier,Byrd W.,The Quenn's alman,Renaissance,Clavecin,
Clavier,Balbastre C.,Quand Jésus naquit à Noël,Classique,Orgue,
Clavier,Balbastre C.,Marche des Marseillois et l'air ça ira,Classique,Orgue,
Cantate,Dubuis C.,Cantate de la Parole,Moderne,Chœur et instruments,
Oratorio,Frank C.,Les sept dernières paroles du Christ en croix,Romantique,Chœur et instruments,
Motet,Frank C.,Panis angelicus,Romantique,Chœur et orgue,
Clavier,Frank C.,Cantabile ,Romantique,Orgue,
Clavier,Frank C.,Pastorale op. 19,Romantique,Orgue,
Clavier,Frank C.,"Prélude, Fugue et Variation op.18",Romantique,Orgue,
Clavier,Frank C.,Choral no1 en mi majeur,Romantique,Orgue,
Motet,Gounod C.,Ave Maria,Romantique,Chant et orgue,
Messe,Gounod C.,Messe aux chapelles,Romantique,Chœur et orgue,
Messe,Gounod C.,Messe aux cathédrales,Romantique,Chœur et orgue,
Messe,Gounod C.,Salve Regina,Romantique,Chœur et orgue,
Motet,Haenni C.,Tantum ergo,Contemporain,Chœur a capella,
Clavier,Merulo C.,Toccata nona,Renaissance,Orgue,
Motet,Monteverdi C.,Laudate Dominum,Baroque,Chant et orgue,
Musique d'ensemble,Saint-Saëns C.,Introduction Rondo Capriccioso,Romantique,Violon et orgue,
Musique d'ensemble,Saint-Saëns C.,Prière op.158,Romantique,Violoncelle et orgue,
Messe,Schönherr C.,Missa in tempore incerto,Contemporain,Chœur et instruments,
Motet,Thiel C.,Der Morgenstern ist aufgedrungen,,Chœur a capella,
Clavier,Widor C.-M.,Toccata de la 5ème Symphonie,Romantique,Orgue,
Clavier,Widor C.-M.,Allegro de la 6ème Symphonie,Romantique,Orgue,
Oratorio,Cozzolani C.M.,Vêpres,Baroque,Chœur et instruments,
Clavier,Bach C.P.E,Sonate en ré majeur Wq.70,Classique,Orgue,
Clavier,Bach C.P.E,Aus der Tiefe rufe ich BWV 745,Baroque,Orgue,
Cantate,Bach C.P.E,Ich will den Namen des Herrn preisen ,Baroque,Chœur et instruments,
Cantate,Bach C.P.E,Magnificat,Baroque,Chœur et instruments,Extrait
Motet,Charpentier M.-A.,In nativitate Domini nostri,Baroque,Chœur et instruments,
Motet,Clérembault L.-N.,Hodie Christus natus est,Baroque,Chœur et instruments,
Motet,Clérembault L.-N.,"Domine, ante te omne desiderium meum",Baroque,Chœur et instruments,
Motet,Clérembault L.-N.,Ecce Deus Salvator meus,Baroque,Chœur et instruments,
Motet,Clérembault L.-N.,"Domine, refugium factus es nobis",Baroque,Chœur et instruments,
Motet,Clérembault L.-N.,"Domine, salvum fac regem",Baroque,Chœur et instruments,
Motet,Bortnianski D.,Tibie Paiom,Romantique,Chœur a capella,
Motet,Bortnianski D.,Ige Herouvimy,Romantique,Chœur a capella,
Clavier,Buxtehude D.,Nun komm der Heiden Heiland BuxWV 211,Baroque,Orgue,
Clavier,Buxtehude D.,Nun bitten wir den heiligen Geist BuxWV 208,Baroque,Orgue,
Clavier,Buxtehude D.,Ciacona en do mineur BuxWV 159,Baroque,Orgue,
Clavier,Buxtehude D.,Wie schön leuchtet der Morgenstern BuxWV 223,Baroque,Orgue,
Clavier,Buxtehude D.,Passacaglia en ré mineur BuxWV 161,Baroque,Orgue,
Clavier,Buxtehude D.,Prélude et Chaconne en do majeur BuxWV 137,Baroque,Orgue,
Clavier,Buxtehude D.,Prélude et Fugue en ré majeur BuxWV 139,Baroque,Orgue,
Clavier,Buxtehude D.,Prélude en do majeur BuxWV 136,Baroque,Orgue,
Clavier,Buxtehude D.,Toccata en sol majeur BuxWV 164,Baroque,Clavecin,
Cantate,Buxtehude D.,Der Herr ist mit mir ,Baroque,Chœur et instruments,
Cantate,Buxtehude D.,Befiehl dem Engel,Baroque,Chœur et instruments,
Motet,Couillart D.,Viri Galilaei,Renaissance,Chœur a capella,
